ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.083221074689417,25905.69667650517,5.681797613838398
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,14424.171230833035,36734.21,-22310.038769166964,15.42131335218534,29112.62663016759,6.385161325148715
6,natural_gas_fired_combustion_turbine,2,0.0,4704.48,-4704.48,0.0,0.0,0.0
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.367032309106849,43111.90910040402,9.455570537767104
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.461457865588985,16135.589320820762,3.5389572434877983
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48591955866315995,832.6405569415937,0.18261987657357406
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,316.70984106475265,3427.34,-3110.6301589352474,0.33860397402522363,657.7973981098484,0.144272193627562
14,natural_gas_fired_combustion_turbine,3,0.0,1207.96,-1207.96,0.0,0.0,0.0
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.103812517373362,27504.192060897873,6.032389507744546
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1470053670323091,286.26273499999996,0.0627849134869619
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,6017.107751884285,0.0,6017.107751884285,6.433070062099648,16682.565228069016,3.65892338234284
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,0.0,0.0,0.0,0.0,-5.202590526826062e-27,-1.141064330761955e-30
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,14118.990741266965,0.0,14118.990741266965,15.095035753059813,71942.77480276302,15.778934313624369
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,1.9758109350610473,5416.539430533,1.1879889275309703
33,landbasedwind_ltrg1,2,2552.931,0.0,2552.931,2.7294149720957086,7215.926571525375,1.5826416439481386
34,landbasedwind_ltrg1,2,2288.25,0.0,2288.25,2.446436589903137,6287.762566544134,1.3790709739674325
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,41431.5,0.0,41431.5,44.295657194175384,109716.86900531444,24.063782275254933
39,utilitypv_losangeles,2,29854.43954762065,0.0,29854.43954762065,31.918275223577147,76404.46438791267,16.757499667613942
40,battery,2,0.0,0.0,0.0,0.0,2.9748683963430306e-15,6.524665353298406e-19
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,1384.425,0.0,1384.425,1.480130220026942,4984.254709931064,1.093177569060829
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,2.421731277822568e-26,5.311490815133854e-30
47,landbasedwind_ltrg1,3,6573.825,0.0,6573.825,7.028273141317595,24776.76939602296,5.4341943006158555
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,867.1973282058158,0.0,867.1973282058158,0.9271466292533365,3165.15804437238,0.6942020378184447
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,10661.129369708833,0.0,10661.129369708833,11.398132625258016,29123.1693319967,6.387473615717237
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
54,battery,3,0.0,0.0,0.0,0.0,-4.041476405501339e-26,-8.864016005401448e-30
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
56,Hydrogen,1,7024.187238713916,0.0,7024.187238713916,7.509768895496735,6470.650522622923,1.4191830916002568
57,Hydrogen,2,27004.563712799987,0.0,27004.563712799987,28.87138763743664,24987.125792152645,5.480330966404476
58,Hydrogen,3,10901.922806373525,0.0,10901.922806373525,11.655572098246118,11863.279639055985,2.6019278611649077
