ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,2217.9465353526675,8495.9,-6277.953464647332,2.3671478653026967,61705.240896240946,13.271195424277643
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,0.0,36734.21,-36734.21,0.0,0.0,0.0
6,natural_gas_fired_combustion_turbine,2,0.0,4704.48,-4704.48,0.0,0.0,0.0
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,1.1428849635973375e-14,2.4580488592327495e-18
8,nuclear,2,1776.4449999999995,5020.0,-3243.5550000000003,1.8959465084260965,15561.6582,3.346908692006968
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.4484775393022185,61136.04,13.148775088177022
11,solar_photovoltaic,2,454.49999999999994,454.5,-5.684341886080802e-14,0.48507422863058575,3981.42,0.8563000827592
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,3427.3399999999997,3427.34,-4.547473508864641e-13,3.657897264586913,5144.003179647045,1.1063415435812731
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.2892195054270683,28.991039999999995,0.006235220085114174
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.086235418423216,82786.38,17.80520117077188
16,solar_photovoltaic,3,137.5,137.5,0.0,0.14674962912366457,364.78745875,0.07845631235015227
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,0.0,0.0,0.0,0.0,1.6469316115725595e-12,3.5421223465204004e-16
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,1.9723737152737015,16188.961799999995,3.4818254113169482
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
40,battery,2,0.0,0.0,0.0,0.0,-1.0925216951523918e-13,-2.3497305433117194e-17
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,24247.52748464179,0.0,24247.52748464179,25.878659385723974,125814.87522348225,27.059513456557276
44,naturalgas_ctavgcf,3,262.15675169775074,0.0,262.15675169775074,0.27979204424661486,6.291762040746015,0.0013531946783288387
45,landbasedwind_ltrg1,3,1384.425,0.0,1384.425,1.4775553112693043,12127.562999999996,2.6083239649590872
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
53,utilitypv_losangeles,3,18824.93226639784,0.0,18824.93226639784,20.09128602452356,49906.550149766896,10.733603343397972
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
56,Hydrogen,1,0.0,0.0,0.0,0.0,0.0,0.0
57,Hydrogen,2,0.0,0.0,0.0,0.0,2.824169632888089e-14,6.074055714715076e-18
58,Hydrogen,3,12407.746736339535,0.0,12407.746736339535,13.242416231404992,5488.839690414077,1.1805069249548041
